Name;Mark;Price;Kitchen;Specialized menu;Adress
Art-Caviar;5,0;350 руб - 990 руб;Морепродукты, Русская, Восточноевропейская, Европейская, Современная;Подходит для вегетарианцев;Большая Конюшенная ул., 10, Санкт-Петербург 191186 Россия
Литтл Сицили;5,0;300 руб - 1 100 руб;Итальянская, Пицца, Средиземноморская, Сицилийская, Южно-итальянская, Европейская;Подходит для вегетарианцев;Марата, 13, Санкт-Петербург 191025 Россия
Этнос кафе;4,5;51 860 руб - 111 128 руб;Грузинская, Европейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Кузнечный пер., 8, Санкт-Петербург 191025 Россия
Сказки Шахерезады;5,0;Барбекю, Ближневосточная, Грузинская, Международная, Европейская, Восточноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Завтрак, Обед, Ужин, Бранч, Напитки;Московский проспект, д. 193, Санкт-Петербург 196066 Россия
Dans Le Noir?;4,5;2 500 руб - 3 500 руб;Европейская, Здоровая, Центральноевропейская, Международная;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Биржевой пер., 4 Васильевский остров, Санкт-Петербург 199004 Россия
Ресторан EM;4,5;78 руб - 5 000 руб;Современная;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;наб. Реки Мойки, 84 Исаакиевская площадь, Санкт-Петербург 190000 Россия
Home Cafe Петергоф;5,0;700 руб - 1 500 руб;Фьюжн, Европейская, Русская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул. Шахматова, 14/1, Петергоф, Санкт-Петербург 198504 Россия
Meal;5,0;500 руб - 2 000 руб;Европейская, Современная;Подходит для вегетарианцев, Для веганов;Литейный пр., 17-19, Санкт-Петербург 191028 Россия
Ешь Фреш;5,0;80 руб - 200 руб;Здоровая;Для веганов, Подходит для вегетарианцев, Безглютеновые блюда;Московский проспект 4а, Санкт-Петербург 141021 Россия
BLOODY MARY Bar & Grill;5,0;400 руб - 800 руб;Американская, Стейк-хаус, Бар, Барбекю, Гриль;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Мучной переулок, 9/27, Санкт-Петербург 191023 Россия
Mr. Bo;4,5;12 руб - 800 руб;Морепродукты, Международная, Фьюжн, Здоровая;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Манежный переулок, 2, Санкт-Петербург 191014 Россия
Лаборатория 31;4,5;Японская, Европейская, Бар;Подходит для вегетарианцев, Для веганов;Бронирование, Места для сидения, Телевизор, Подают алкоголь, Бар, Бесплатный Wi-Fi, Обслуживание посетителей за столиками;ул. Гороховая, д. 31, Санкт-Петербург 190031 Россия
Ресторан Морепродуктов Находка;4,5;54 руб - 2 500 руб;Европейская, Морепродукты, Современная;Обед, Ужин, Открыто допоздна, Напитки;ул. Малая Морская, 18, Санкт-Петербург 190000 Россия
Public Cafe;5,0;90 руб - 790 руб;Итальянская, Американская, Европейская, Русская, Кафе, Здоровая;Подходит для вегетарианцев, Для веганов;Ефимова,  1/4 Сенная площадь, Санкт-Петербург 190031 Россия
all Seasons;4,5;800 руб - 2 500 руб;Международная, Европейская, Гастропаб, Здоровая, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;ул.Большая Морская 34, Санкт-Петербург 190000 Россия
Тройка;4,5;1 750 руб - 4 500 руб;Европейская, Русская, Восточноевропейская, Центральноевропейская;Подходит для вегетарианцев, Для веганов;Загородный проспект, д. 27, Санкт-Петербург 191180 Россия
Вайн Гог;4,5;320 руб - 730 руб;Европейская, Винный бар;Обед, Ужин, Бранч, Открыто допоздна, Напитки;Малая Конюшенная, 7, Санкт-Петербург 191186 Россия
Тамар;3,0;11 113 руб - 140 762 руб;Грузинская;Обед, Ужин, Открыто допоздна, Напитки;Караванная, 28, Санкт-Петербург 191014 Россия
LoungeRoom;4,5;120 руб - 790 руб;Современная, Центральноевропейская, Европейская, Паб;Подходит для вегетарианцев;Загородный пр., 11, Санкт-Петербург Россия
ЛарисуВаннуХочу;4,5;Русская, Японская, Ближневосточная, Восточноевропейская, Кавказская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Завтрак, Обед, Ужин, Бранч;пр. Науки, 14/1 Bldg. 1, Letter A, Санкт-Петербург 195256 Россия
Пхали-Хинкали;5,0;55 руб - 490 руб;Грузинская, Восточноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;проспект Юрия Гагарина, 71, Санкт-Петербург 196143 Россия
Restaurant Schengen;4,5;1 000 руб - 1 200 руб;Европейская, Центральноевропейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Кирочная ул., 5, Санкт-Петербург 191028 Россия
Cыроварня;4,5;1 000 руб - 2 500 руб;Итальянская, Европейская;Подходит для вегетарианцев, Для веганов, Безглютеновые блюда;Ковенский переулок, 5, Санкт-Петербург 191014 Россия
